Date,temperature,anomoly
3/23/2023 12:00,14.774,0.4594
3/23/2023 18:00,14.436,0.3525
3/24/2023 0:00,13.969,0.381
3/24/2023 6:00,14.327,0.4072
3/24/2023 12:00,14.72,0.3734
3/24/2023 18:00,14.418,0.304
3/25/2023 0:00,14.057,0.4368
3/25/2023 6:00,14.384,0.43
3/25/2023 12:00,14.797,0.417
3/25/2023 18:00,14.468,0.3207
3/26/2023 0:00,14.066,0.4129
3/26/2023 6:00,14.364,0.3747
3/26/2023 12:00,14.849,0.4356
3/26/2023 18:00,14.51,0.3291
3/27/2023 0:00,14.069,0.3793
3/27/2023 6:00,14.467,0.4417
3/27/2023 12:00,14.879,0.4287
3/27/2023 18:00,14.658,0.4431
3/28/2023 0:00,14.167,0.4464
3/28/2023 6:00,14.471,0.4111
3/28/2023 12:00,14.888,0.4033
3/28/2023 18:00,14.617,0.3689
3/29/2023 0:00,14.213,0.4585
3/29/2023 6:00,14.511,0.4178
3/29/2023 12:00,14.929,0.4119
3/29/2023 18:00,14.553,0.2735
3/30/2023 0:00,14.085,0.2986
3/30/2023 6:00,14.461,0.3343
3/30/2023 12:00,14.807,0.258
3/30/2023 18:00,14.635,0.3248
3/31/2023 0:00,14.1,0.2817
3/31/2023 6:00,14.451,0.2927
3/31/2023 12:00,14.827,0.2496
3/31/2023 18:00,14.66,0.321
4/1/2023 0:00,14.143,0.2954
4/1/2023 6:00,14.435,0.2463
4/1/2023 12:00,14.769,0.1646
4/1/2023 18:00,14.616,0.2495
4/2/2023 0:00,14.098,0.2217
4/2/2023 6:00,14.451,0.2362
4/2/2023 12:00,14.812,0.1848
4/2/2023 18:00,14.636,0.245
4/3/2023 0:00,14.061,0.162
4/3/2023 6:00,14.37,0.1334
4/3/2023 12:00,14.816,0.1679
4/3/2023 18:00,14.599,0.1873
4/4/2023 0:00,14.145,0.2237
4/4/2023 6:00,14.407,0.1478
4/4/2023 12:00,14.889,0.2211
4/4/2023 18:00,14.623,0.1894
4/5/2023 0:00,14.022,0.0778
4/5/2023 6:00,14.439,0.157
4/5/2023 12:00,14.9,0.2135
4/5/2023 18:00,14.624,0.1726
4/6/2023 0:00,14.11,0.1407
4/6/2023 6:00,14.516,0.2105
4/6/2023 12:00,14.95,0.245
4/6/2023 18:00,14.636,0.1651
4/7/2023 0:00,14.109,0.1184
4/7/2023 6:00,14.522,0.1927
4/7/2023 12:00,14.924,0.1974
4/7/2023 18:00,14.597,0.1064
4/8/2023 0:00,14.185,0.1706
4/8/2023 6:00,14.494,0.1404
4/8/2023 12:00,14.892,0.1435
4/8/2023 18:00,14.644,0.129
4/9/2023 0:00,14.292,0.251
4/9/2023 6:00,14.687,0.3036
4/9/2023 12:00,15.074,0.2981
4/9/2023 18:00,14.818,0.2748
4/10/2023 0:00,14.369,0.3002
4/10/2023 6:00,14.829,0.4148
4/10/2023 12:00,15.193,0.3867
4/10/2023 18:00,14.895,0.3229
4/11/2023 0:00,14.456,0.3573
4/11/2023 6:00,14.91,0.463
4/11/2023 12:00,15.252,0.4159
4/11/2023 18:00,14.978,0.3761
4/12/2023 0:00,14.541,0.4108
4/12/2023 6:00,14.96,0.477
4/12/2023 12:00,15.364,0.4949
4/12/2023 18:00,14.993,0.3568
4/13/2023 0:00,14.585,0.42
4/13/2023 6:00,14.874,0.354
4/13/2023 12:00,15.376,0.4718
4/13/2023 18:00,15.045,0.3747
4/14/2023 0:00,14.566,0.3662
4/14/2023 6:00,14.885,0.3254
4/14/2023 12:00,15.256,0.3131
4/14/2023 18:00,15.02,0.311
4/15/2023 0:00,14.568,0.327
4/15/2023 6:00,14.959,0.3547
4/15/2023 12:00,15.332,0.348
4/15/2023 18:00,15.023,0.2726
4/16/2023 0:00,14.612,0.3305
4/16/2023 6:00,15.068,0.4242
4/16/2023 12:00,15.374,0.3502
4/16/2023 18:00,15.029,0.2364
4/17/2023 0:00,14.556,0.2342
4/17/2023 6:00,14.987,0.3023
4/17/2023 12:00,15.481,0.4184
4/17/2023 18:00,15.148,0.3155
4/18/2023 0:00,14.6,0.2376
4/18/2023 6:00,15.047,0.3247
4/18/2023 12:00,15.509,0.4081
4/18/2023 18:00,15.208,0.3359
4/19/2023 0:00,14.713,0.3098
4/19/2023 6:00,15.159,0.3972
